Country,Year,Energy
Brazil,1965,3236.321
Brazil,1966,3435.0725
Brazil,1967,3465.8274
Brazil,1968,3856.5237
Brazil,1969,4104.366
Brazil,1970,4704.4146
Brazil,1971,5115.3794
Brazil,1972,5701.726
Brazil,1973,6555.8247
Brazil,1974,7133.9585
Brazil,1975,7353.4272
Brazil,1976,7864.0117
Brazil,1977,8191.736
Brazil,1978,8848.187
Brazil,1979,9430.558
Brazil,1980,9429.53
Brazil,1981,9028.166
Brazil,1982,9277.801
Brazil,1983,9175.53
Brazil,1984,9557.922
Brazil,1985,10027.937
Brazil,1986,10361.041
Brazil,1987,10437.202
Brazil,1988,10552.992
Brazil,1989,10650.324
Brazil,1990,10391.008
Brazil,1991,10542.793
Brazil,1992,10515.058
Brazil,1993,10825.511
Brazil,1994,11174.378
Brazil,1995,11697.942
Brazil,1996,12198.168
Brazil,1997,12775.408
Brazil,1998,13032.864
Brazil,1999,12995.942
Brazil,2000,13400.32
Brazil,2001,12893.828
Brazil,2002,13021.792
Brazil,2003,13111.923
Brazil,2004,13593.7
Brazil,2005,13792.466
Brazil,2006,14020.683
Brazil,2007,14770.352
Brazil,2008,15255.087
Brazil,2009,15004.242
Brazil,2010,16220.931
Brazil,2011,16629.84
Brazil,2012,16963.494
Brazil,2013,17221.441
Brazil,2014,17519.043
Brazil,2015,17140.152
Brazil,2016,16591.764
Brazil,2017,16608.686
Brazil,2018,16539.11
Brazil,2019,16681.947
Brazil,2020,15921.327
Brazil,2021,16659.977
Brazil,2022,17333.797
Brazil,2023,17806.447
Canada,1965,70549.53
Canada,1966,73735.89
Canada,1967,75768.72
Canada,1968,79374.68
Canada,1969,82977.7
Canada,1970,87175.18
Canada,1971,88043
Canada,1972,93342.2
Canada,1973,100104.03
Canada,1974,101847.945
Canada,1975,98932.94
Canada,1976,102251.375
Canada,1977,106915.85
Canada,1978,107843.35
Canada,1979,109839.055
Canada,1980,110629.38
Canada,1981,108631.28
Canada,1982,104162.164
Canada,1983,102532.734
Canada,1984,108044.445
Canada,1985,110558.88
Canada,1986,110465.45
Canada,1987,112631.016
Canada,1988,115489.02
Canada,1989,114790.24
Canada,1990,108781.125
Canada,1991,107826.01
Canada,1992,109417.39
Canada,1993,110924.66
Canada,1994,113906.836
Canada,1995,115464.414
Canada,1996,117390.45
Canada,1997,116831.45
Canada,1998,114154.59
Canada,1999,116807.086
Canada,2000,118875.336
Canada,2001,115218.68
Canada,2002,117915.38
Canada,2003,117365.12
Canada,2004,118078.05
Canada,2005,117744.78
Canada,2006,115946.32
Canada,2007,119158.6
Canada,2008,116479.15
Canada,2009,110665.805
Canada,2010,110485.93
Canada,2011,113449.32
Canada,2012,112586.71
Canada,2013,114051.086
Canada,2014,113198.414
Canada,2015,112484.586
Canada,2016,110318.59
Canada,2017,110470.55
Canada,2018,110439.84
Canada,2019,108410.72
Canada,2020,100866.02
Canada,2021,101349.1
Canada,2022,103290.69
Canada,2023,99916.4
China,1965,2122.2656
China,1966,2246.869
China,1967,1972.4783
China,1968,1943.5549
China,1969,2302.3645
China,1970,2871.2456
China,1971,3320.4941
China,1972,3498.7197
China,1973,3614.6829
China,1974,3654.5251
China,1975,4021.7922
China,1976,4169.278
China,1977,4482.533
China,1978,4849.5903
China,1979,4928.051
China,1980,4914.158
China,1981,4776.941
China,1982,4910.6587
China,1983,5147.26
China,1984,5444.6426
China,1985,5800.9233
China,1986,5979.108
